agent,original_filename,filepath,reasoning,extracted_title,suggested_name,confidence,extraction_status,approved
Education,2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,Max retries exceeded,,2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,LOW,partial,
Education,2025-KJSEA-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2025-KJSEA-ESSENTIAL-STATISTICS.pdf,"The title, issuer, and year are explicitly stated in the document text as '2025 KJSEA ASSESSMENT ESSENTIAL STATISTICS' and 'REPUBLIC OF KENYA KNEC', indicating the Kenya National Examinations Council (KNEC) as the issuer and 2025 as the year.",2025 KJSEA ASSESSMENT ESSENTIAL STATISTICS,2025-Statistics-Report-KNEC-KJSEA-Essentials.pdf,HIGH,ok,
Education,CBA-Age-Based-Regular-Framework.pdf,/home/darwin/PRES/Executive/Education/data/raw/CBA-Age-Based-Regular-Framework.pdf,"CORRUPT — binary error, unreadable by pdfplumber and OCR",,CBA-Age-Based-Regular-Framework.pdf,SKIP,corrupt_pdf,
Education,GPE 2025 results framework for Kenya.pdf,/home/darwin/PRES/Executive/Education/data/raw/GPE 2025 results framework for Kenya.pdf,"The title 'GPE 2025 Results Framework for Kenya' and year '2025' are explicitly stated in the document, and the issuer can be inferred as the Ministry of Education due to the context of education sector and partnership with Global Partnership for Education (GPE).",GPE 2025 Results Framework for Kenya,2025-Research-Report-MoE-GPE-Results-Framework.pdf,MEDIUM,partial,
Education,Audited-Financial-Statements-2021-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/Audited-Financial-Statements-2021-2022.pdf,"The year and doc type are clear from the filename, making a standardized name possible.",,2021-2022-Audited-Financial-Statements.pdf,HIGH,skipped,
Education,BasicEducationActNo_14of2013.pdf,/home/darwin/PRES/Executive/Education/data/raw/BasicEducationActNo_14of2013.pdf,"The filename contains the year (2013) and the document type (Act), which are clear indicators for a high confidence in generating a standardized name.",,BasicEducationAct-No.14-of-2013.pdf,HIGH,skipped,
Education,EDUCATION-SECTOR-REPORT-FY-2024-25-2026-27.pdf,/home/darwin/PRES/Executive/Education/data/raw/EDUCATION-SECTOR-REPORT-FY-2024-25-2026-27.pdf,"The filename contains the year (FY-2024-25) and the type of document (Report), which are sufficient to create a standardized name.",,FY-2024-25-Report.pdf,HIGH,skipped,
Education,FY-2024-25-Program-Based-Budget-Book.pdf,/home/darwin/PRES/Executive/Education/data/raw/FY-2024-25-Program-Based-Budget-Book.pdf,"The year (2024) and doc type (Budget) are clearly visible, making a clean name achievable.",,FY-2024-Program-Based-Budget-Book.pdf,HIGH,skipped,
Education,KNEC-Audite-Annual-Report-FY-2021-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audite-Annual-Report-FY-2021-2022.pdf,"The year (2021-2022) and the organization abbreviation (KNEC) are clearly visible, making it easy to infer the rest of the document type and short description.",,FY-2021-2022-Audite-KNEC-Annual-Report.pdf,HIGH,skipped,
Education,KNEC-Audited-Annual-Report-FY-2019_2020.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audited-Annual-Report-FY-2019_2020.pdf,"The year (2019-2020) and doc type (Audited Annual Report) are clearly visible, making a clean name achievable.",,FY-2019_2020-Audited-Annual-Report.pdf,HIGH,skipped,
Education,KNEC-Audited-Annual-report-FY-2018-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audited-Annual-report-FY-2018-2019.pdf,"The filename provides the year (FY-2018-2019), doc type (Audited Annual Report), and issuer (KNEC). The short description is missing, but it's clear from the context that this is an annual report.",,FY-2018-2019-Audited-Annual-Report.pdf,HIGH,skipped,
