filename,doc_id,document_type,agent_access,doc_year,topics,soft_reasons
2016-Agricultural-Biotechnology-Nairobi-Kenya.pdf,agriculture_2016.agricultural.biotechnology.nairobi.kenya,research_report,agriculture,2016,,topics is empty for document_type='research_report'
2017-Annual-Report-Financial-Statements.pdf,president_2017.annual.report.financial.statements,annual_report,president,2017,,topics is empty for document_type='annual_report'
2017-State-of-ICT-Report.pdf,president_2017.state.of.ict.report,statistics_report,finance|president,2017,,topics is empty for document_type='statistics_report'
2018-EU-Regulation-Deforestation.pdf,president_2018.eu.regulation.deforestation,regulations,agriculture|anticorruption|ict|president,2018,climate_agriculture|food_security,"issuing_agent='unknown' for legal doc_type='regulations' — expected 'president', 'finance', or an agency"
2019-Annual-Report-Final.pdf,president_2019.annual.report.final,annual_report,president,2019,,topics is empty for document_type='annual_report'
2020-Essential-ICT-Survey.pdf,president_2020.essential.ict.survey,survey,finance|president,2020,,topics is empty for document_type='survey'
2020-Regulations-Amendments.pdf,president_2020.regulations.amendments,regulations,anticorruption|president,2020,,"issuing_agent='unknown' for legal doc_type='regulations' — expected 'president', 'finance', or an agency | topics is empty for document_type='regulations'"
2021-Annual-Report-Field-Guide-4-Human-Nutrition-in-Resource-Management-in-Arid-and-Semi-Arid-Zones.pdf,agriculture_2021.annual.report.field.guide.4.human.nutrition.in.resource.management.in.arid.and.semi.arid.zones,guidelines,agriculture,2021,,topics is empty for document_type='guidelines'
2021-Annual-Report.pdf,president_2021.annual.report,annual_report,president,2021,,topics is empty for document_type='annual_report'
2021-Audit-Report-Alternative-Business-and-Partnerships-Booklet.pdf,infrastructure_2021.audit.report.alternative.business.and.partnerships.booklet,research_report,infrastructure,2021,,topics is empty for document_type='research_report'
2021-Audit-Report-ESMF.pdf,president_2021.audit.report.esmf,framework,president,2021,,topics is empty for document_type='framework'
2021-Audit-Report-KEN-Digital-Readiness-Study.pdf,ict_2021.audit.report.ken.digital.readiness.study,survey,finance|ict|president,2021,,topics is empty for document_type='survey'
2021-Audit-Report-Pavement-Foundation-and-Materials-Design.pdf,infrastructure_2021.audit.report.pavement.foundation.and.materials.design,manual,infrastructure,2021,,topics is empty for document_type='manual'
2021-Field-Guide-Pastoral-and-Agro-pastoral-Production-in-Arid-and-semi-arid-zones.pdf,agriculture_2021.field.guide.pastoral.and.agro.pastoral.production.in.arid.and.semi.arid.zones,guidelines,agriculture,2021,,topics is empty for document_type='guidelines'
2021-Regulations-Draft-for-national-validation.pdf,president_2021.regulations.draft.for.national.validation,regulations,anticorruption|president,2021,,"issuing_agent='unknown' for legal doc_type='regulations' — expected 'president', 'finance', or an agency | topics is empty for document_type='regulations'"
2021-Research-IMPACT-OF-SMART-CITIES-ON-SUSTAINABLE-URBAN-DEVELOPMENT.pdf,ict_2021.research.impact.of.smart.cities.on.sustainable.urban.development,research_report,ict,2021,,topics is empty for document_type='research_report'
2022-Annual-Report-KNHA-2023.pdf,infrastructure_2022.annual.report.knha.2023,annual_report,president,2023,,topics is empty for document_type='annual_report'
2022-Annual-Report.pdf,president_2022.annual.report,annual_report,president,2022,,topics is empty for document_type='annual_report'
2022-Anual-Report.pdf,president_2022.anual.report,annual_report,president,2022,,topics is empty for document_type='annual_report'
2022-Regulatory-Impact-Assessment-Ministry-of-Agriculture.pdf,agriculture_2022.regulatory.impact.assessment.ministry.of.agriculture,assessment,agriculture,2022,,topics is empty for document_type='assessment'
2023-Annual-Report-AFA-Bulletin.pdf,agriculture_2023.annual.report.afa.bulletin,annual_report,agriculture,2023,,topics is empty for document_type='annual_report'
2023-Annual-Report-Consolidated-Summary-Report-NCCE.pdf,agriculture_2023.annual.report.consolidated.summary.report.ncce,conference_report,agriculture|president,2023,,topics is empty for document_type='conference_report'
2023-Annual-Report-NCG-Newsletter.pdf,president_2023.annual.report.ncg.newsletter,annual_report,president,2023,,topics is empty for document_type='annual_report'
2023-Audit-Report-Intelligent-Transport-System.pdf,infrastructure_2023.audit.report.intelligent.transport.system,research_report,infrastructure,2023,,topics is empty for document_type='research_report'
2023-Draft-Regulations-Propagating-Seeds.pdf,agriculture_2023.draft.regulations.propagating.seeds,regulations,agriculture|anticorruption|president,2023,seeds_regulations,"issuing_agent='unknown' for legal doc_type='regulations' — expected 'president', 'finance', or an agency"
